trial_img,trial_audio,trial_visual,task_dur
./stimuli/1920x1080/set_1_1.jpg $ ./stimuli/1920x1080/set_1_2.jpg,./stimuli/Audio/passage1_woodpecker.wav,./stimuli/Visual/passage_1.txt,41
./stimuli/1920x1080/set_2_1.jpg $ ./stimuli/1920x1080/set_2_2.jpg,./stimuli/Audio/passage2_scientific_method.wav,./stimuli/Visual/passage_2.txt,25
./stimuli/1920x1080/set_3_1.jpg $ ./stimuli/1920x1080/set_3_2.jpg,./stimuli/Audio/passage3_writing_topic.wav,./stimuli/Visual/passage_3.txt,26
./stimuli/1920x1080/set_4_1.jpg $ ./stimuli/1920x1080/set_4_2.jpg,./stimuli/Audio/passage4_skateboarding.wav,./stimuli/Visual/passage_4.txt,31
./stimuli/1920x1080/set_5_1.jpg $ ./stimuli/1920x1080/set_5_2.jpg,./stimuli/Audio/passage5_eye_tracking.wav,./stimuli/Visual/passage_5.txt,31
