subj,shot,timestamp,x,y,duration,prev_sacc_amplitude,aoi_span,aoi_label,aoi_order,order
1,set_2,0.574940,851.436800,975.742200,0.049240,99.160828,0,dash,2,78
1,set_2,1.560607,925.936000,545.083200,0.049383,437.055265,-1,car_in_front,1,79
1,set_2,1.642595,919.171200,604.746000,0.016669,60.045085,0,car_in_front,1,80
1,set_2,1.790732,893.635200,906.557400,0.016403,302.889763,1,dash,2,81
1,set_2,1.823439,855.009280,889.803720,0.246329,42.102820,0,dash,2,82
1,set_2,2.102854,799.555200,938.345400,0.049254,73.698370,0,dash,2,83
1,set_2,2.234122,945.143564,921.795709,0.180919,146.525984,0,dash,2,84
1,set_2,2.497074,1055.607360,911.652300,0.164385,110.928531,0,dash,2,85
1,set_2,2.743420,1186.761600,930.686400,0.049411,132.528230,0,dash,2,86
1,set_2,2.809143,1174.368000,895.878900,0.033018,36.948117,0,dash,2,87
1,set_2,2.874979,1211.942400,951.561000,0.049138,67.173892,0,dash,2,88
1,set_2,3.006192,1287.422400,817.038900,0.032946,154.251178,0,dash,2,89
1,set_2,3.088580,1282.316800,884.757600,0.049244,67.910894,0,dash,2,90
1,set_2,3.187037,1350.224000,880.392600,0.049296,68.047344,0,dash,2,91
1,set_2,3.285627,1288.350400,942.067800,0.098581,87.362307,0,dash,2,92
1,set_2,3.417179,1206.430400,964.260000,0.197036,84.872729,0,dash,2,93
1,set_2,3.679909,1270.675200,990.316800,0.016470,69.327853,0,dash,2,94
1,set_2,3.794929,981.667200,971.119800,0.016384,289.644867,0,dash,2,95
1,set_2,3.827627,986.928000,999.407700,0.033105,28.772927,0,dash,2,96
1,set_2,3.877178,1018.555200,980.974800,0.065509,36.606715,0,dash,2,97
1,set_2,3.991910,1094.136000,1001.354400,0.032972,78.280173,0,dash,2,98
1,set_2,4.057774,1042.416000,965.325600,0.032776,63.031998,0,dash,2,99
1,set_2,4.156309,1169.715200,1002.682800,0.049302,132.667429,0,dash,2,100
1,set_2,4.222159,1140.236400,1008.717300,0.131333,30.090112,0,dash,2,101
1,set_2,4.369912,1175.769600,1007.996400,0.016549,35.540512,0,dash,2,102
1,set_2,4.485003,905.222400,994.469400,0.016413,270.885155,0,dash,2,103
1,set_2,4.517835,879.144847,1009.714235,0.279307,30.206684,0,dash,2,104
1,set_2,4.895709,1072.521600,1021.113000,0.016454,193.712417,0,dash,2,105
1,set_2,4.928607,1037.827200,1065.800700,0.032760,56.574658,0,dash,2,106
1,set_2,5.027187,1039.155200,991.151400,0.147845,74.661112,0,dash,2,107
1,set_2,5.273511,869.347200,968.614200,0.016512,171.297058,0,dash,2,108
1,set_3,0.344955,920.160000,929.086200,0.016415,0.000000,0,dash,2,109
1,set_3,0.377958,921.780800,860.121900,0.098524,68.983343,0,dash,2,110
